platform,tone,language,type,text,cta,compliance
Google Ads,Direct,es,Headline,Webinar IA Gratis,Regístrate gratis,Yes
Google Ads,Direct,es,Description,Domina 5 herramientas de IA en 60 min.,Regístrate gratis,Yes
Meta,Direct,es,Primary Text,5 herramientas de IA listas para usar hoy.,Reserva tu lugar,Yes
TikTok,Direct,es,Hook,¿Quieres trabajar 10x más rápido con IA?,Regístrate gratis,Yes
LinkedIn,Formal,es,Intro,Aprende a aplicar IA en tu rol en 60 minutos.,Regístrate gratis,Yes
Landing,Direct,es,Headline,Domina la IA en 60 Minutos - Gratis,Regístrate gratis,Yes
Email,Direct,es,Subject,✅ ¡Registro confirmado! Tu lugar está reservado,Acceder al evento,Yes
Google Ads,Direct,pt-BR,Headline,Webinar IA Grátis,Registrar grátis,Yes
Google Ads,Formal,pt-BR,Description,Domine 5 ferramentas de IA em 60 min.,Registrar grátis,Yes
Meta,Inspirador,pt-BR,Primary Text,A IA pode multiplicar seu impacto. Comece hoje.,Reserve sua vaga,Yes
TikTok,Direct,pt-BR,Hook,Quer trabalhar 10x mais rápido com IA?,Registrar grátis,Yes
LinkedIn,Formal,pt-BR,Intro,Aprenda a aplicar IA no seu papel em 60 minutos.,Registrar grátis,Yes
Landing,Direct,pt-BR,Headline,Domine IA em 60 minutos — Grátis,Registrar grátis,Yes
Email,Direct,pt-BR,Subject,✅ Registro confirmado — Webinar IA,Entrar no evento,Yes










