platform,type,variant,tone,length,headline_or_text,cta,compliance
Google Ads,Headline,A,Direct,Short,Webinar IA Gratis,Regístrate gratis,Yes
Google Ads,Headline,B,Direct,Short,IA en 60 Min,Regístrate gratis,Yes
Google Ads,Description,A,Formal,Short,Domina 5 herramientas de IA en 60 min.,Regístrate gratis,Yes
Google Ads,Description,B,Formal,Short,IA práctica desde cero. Casos reales.,Regístrate gratis,Yes
Meta,Primary Text,A,Direct,Medium,5 herramientas de IA listas para usar hoy.,Reserva tu lugar,Yes
Meta,Primary Text,B,Inspirador,Medium,La IA puede multiplicar tu impacto. Empieza hoy.,Reserva tu lugar,Yes
Meta,Headline,A,Direct,Short,Domina IA en 60 Min,Regístrate gratis,Yes
Meta,Headline,B,Formal,Short,Webinar IA Gratis,Regístrate gratis,Yes
Meta,Description,A,Direct,Short,Cupos limitados,Reserva tu lugar,Yes
TikTok,Hook,A,Direct,Short,¿Quieres trabajar 10x más rápido con IA?,Regístrate gratis,Yes
TikTok,Hook,B,Direct,Short,5 herramientas de IA para empezar hoy,Regístrate gratis,Yes
LinkedIn,Intro,A,Formal,Medium,Aprende a aplicar IA en tu rol en 60 minutos con casos reales.,Regístrate gratis,Yes
Landing,Headline,A,Direct,Short,Domina la IA en 60 Minutos - Gratis,Regístrate gratis,Yes
Landing,Subheadline,A,Formal,Medium,Aprende 5 herramientas de IA con ejemplos claros y plantillas.,Regístrate gratis,Yes
Email,Subject,A,Direct,Short,✅ ¡Registro confirmado! Tu lugar está reservado,Acceder al evento,Yes
Email,Subject,B,Direct,Short,⚠️ Última oportunidad: Comienza en 2 horas,Unirme ahora,Yes
Email,Body Open,A,Formal,Medium,Tu registro para "Domina la IA en 60 minutos" ha sido confirmado.,Añadir al calendario,Yes
Email,Body Open,B,Inspirador,Medium,La IA abre oportunidades reales. Te esperamos en el webinar.,Ver detalles,Yes
All,CTA,A,Direct,Short, ,Regístrate gratis,Yes
All,CTA,B,Direct,Short, ,Reserva tu lugar,Yes
All,CTA,C,Direct,Short, ,Únete al webinar,Yes
All,CTA,D,Direct,Short, ,Quiero aprender IA,Yes
All,CTA,E,Direct,Short, ,Empezar ahora,Yes
Compliance,Alternative,A,Neutral,Short,Mejora tu eficiencia y abre nuevas oportunidades con IA, ,Yes
Compliance,Alternative,B,Neutral,Short,Aplica IA para optimizar procesos y resultados, ,Yes
Compliance,Alternative,C,Neutral,Short,Automatiza tareas para enfocarte en lo estratégico, ,Yes










