filepath,lang,alt
1080x1080/ig_descuento_curso_ia.svg,es,"Anuncio con fondo azul-morado, texto grande “-35 %”, sello “Solo 48 horas”, título “en Curso de IA + Webinars”, botón “Aprovecha hoy” y espacio de logo."
1080x1080/ig_descuento_curso_ia.svg,en,"Ad with blue-purple gradient, large “-35%”, badge “Only 48 hours”, title “AI Course + Webinars”, button “Act now”, and logo area."
1080x1080/ig_descuento_curso_ia.svg,pt,"Anúncio com gradiente azul-roxo, “-35%” grande, selo “Apenas 48 horas”, título “Curso de IA + Webinars”, botão “Aproveite hoje” e área de logo."
1080x1080/ig_descuento_saas_marketing.svg,es,"Anuncio naranja-rosado, “-35 %”, sello “Solo 48 horas”, “en SaaS de IA para Marketing”, botón “Aprovecha hoy”, y logo."
1080x1080/ig_descuento_saas_marketing.svg,en,"Orange-pink ad, “-35%”, badge “Only 48 hours”, “AI SaaS for Marketing”, button “Act now”, and logo."
1080x1080/ig_descuento_saas_marketing.svg,pt,"Anúncio laranja-rosa, “-35%”, selo “Apenas 48 horas”, “SaaS de IA para Marketing”, botão “Aproveite hoje” e logo."
1080x1080/ig_descuento_ia_bulk.svg,es,"Anuncio verde-cian, “-35 %”, sello “Solo 48 horas”, “en IA Bulk: 3 documentos con 1 consulta”, botón “Aprovecha hoy”, y logo."
1080x1080/ig_descuento_ia_bulk.svg,en,"Green-cyan ad, “-35%”, badge “Only 48 hours”, “AI Bulk: 3 docs from 1 prompt”, button “Act now”, and logo."
1080x1080/ig_descuento_ia_bulk.svg,pt,"Anúncio verde-ciano, “-35%”, selo “Apenas 48 horas”, “IA Bulk: 3 documentos com 1 consulta”, botão “Aproveite hoje” e logo."
1080x1920/ig_story_descuento_curso_ia.svg,es,"Story azul-morado con “-35 %”, sello “Solo 48 horas”, “en Curso de IA + Webinars”, botón grande y pie con URL/handle."
1080x1920/ig_story_descuento_curso_ia.svg,en,"Blue-purple story with “-35%”, “Only 48 hours” badge, “AI Course + Webinars”, large CTA and footer URL/handle."
1080x1920/ig_story_descuento_curso_ia.svg,pt,"Story azul-roxo com “-35%”, selo “Apenas 48 horas”, “Curso de IA + Webinars”, CTA grande e URL/handle no rodapé."
1080x1920/ig_story_descuento_saas_marketing.svg,es,"Story naranja-rosado con “-35 %”, “Solo 48 horas”, “en SaaS de IA para Marketing”, CTA y URL/handle."
1080x1920/ig_story_descuento_saas_marketing.svg,en,"Orange-pink story with “-35%”, “Only 48 hours”, “AI SaaS for Marketing”, CTA and URL/handle."
1080x1920/ig_story_descuento_saas_marketing.svg,pt,"Story laranja-rosa com “-35%”, “Apenas 48 horas”, “SaaS de IA para Marketing”, CTA e URL/handle."
1080x1920/ig_story_descuento_ia_bulk.svg,es,"Story verde-cian con “-35 %”, “Solo 48 horas”, “IA Bulk: 3 documentos con 1 consulta”, CTA y URL/handle."
1080x1920/ig_story_descuento_ia_bulk.svg,en,"Green-cyan story with “-35%”, “Only 48 hours”, “AI Bulk: 3 docs with 1 prompt”, CTA and URL/handle."
1080x1920/ig_story_descuento_ia_bulk.svg,pt,"Story verde-ciano com “-35%”, “Apenas 48 horas”, “IA Bulk: 3 documentos com 1 consulta”, CTA e URL/handle."
reels/cover_1080x1920/cover_reel_curso_ia.svg,es,"Portada de Reel azul-morado con “-35 %”, “Curso de IA + Webinars”, CTA y guía de recorte."
reels/cover_1080x1920/cover_reel_curso_ia.svg,en,"Blue-purple Reel cover with “-35%”, “AI Course + Webinars”, CTA and crop guide."
reels/cover_1080x1920/cover_reel_curso_ia.svg,pt,"Capa de Reel azul-roxo com “-35%”, “Curso de IA + Webinars”, CTA e guia de corte."
reels/cover_1080x1920/cover_reel_saas_marketing.svg,es,"Portada Reel naranja-rosado “-35 %”, “SaaS de IA para Marketing”, CTA y recorte."
reels/cover_1080x1920/cover_reel_saas_marketing.svg,en,"Orange-pink Reel cover “-35%”, “AI SaaS for Marketing”, CTA and crop."
reels/cover_1080x1920/cover_reel_saas_marketing.svg,pt,"Capa Reel laranja-rosa “-35%”, “SaaS de IA para Marketing”, CTA e corte."
reels/cover_1080x1920/cover_reel_ia_bulk.svg,es,"Portada Reel verde-cian “-35 %”, “IA Bulk”, CTA y recorte."
reels/cover_1080x1920/cover_reel_ia_bulk.svg,en,"Green-cyan Reel cover “-35%”, “AI Bulk”, CTA and crop."
reels/cover_1080x1920/cover_reel_ia_bulk.svg,pt,"Capa Reel verde-ciano “-35%”, “IA Bulk”, CTA e corte."
1080x1080/carousel/carousel_slide1_hook.svg,es,"Carrusel slide 1: fondo azul-morado, sello “Solo 48 horas”, descuento “-35 %” y CTA."
1080x1080/carousel/carousel_slide1_hook.svg,en,"Carousel slide 1: blue-purple, “Only 48 hours”, “-35%” and CTA."
1080x1080/carousel/carousel_slide1_hook.svg,pt,"Carrossel slide 1: azul-roxo, “Apenas 48 horas”, “-35%” e CTA."
1080x1080/carousel/carousel_slide2_benefits.svg,es,"Carrusel slide 2: beneficios listados en texto sobre fondo naranja-rosado, con logo."
1080x1080/carousel/carousel_slide2_benefits.svg,en,"Carousel slide 2: benefits list over orange-pink background, with logo."
1080x1080/carousel/carousel_slide2_benefits.svg,pt,"Carrossel slide 2: lista de benefícios em laranja-rosa, com logo."
1080x1080/carousel/carousel_slide3_cta.svg,es,"Carrusel slide 3: CTA principal, cupón “35IA”, QR y sello “Solo 48 horas” sobre fondo verde-cian."
1080x1080/carousel/carousel_slide3_cta.svg,en,"Carousel slide 3: main CTA, coupon “35IA”, QR and “Only 48 hours” over green-cyan."
1080x1080/carousel/carousel_slide3_cta.svg,pt,"Carrossel slide 3: CTA principal, cupom “35IA”, QR e “Apenas 48 horas” em verde-ciano."



